City_ID,City,Lat,Lng,Max Temp,Max Temp (c),Humidity,Cloudiness,Wind Speed,Country,Date
343,sainte-maxime,43.3,6.6333,285.16,12.010000000000048,64,86,3.35,FR,1674818763
344,kenitra,34.261,-6.5802,287.57,14.420000000000016,80,65,2.18,MA,1674818764
345,komsomolskiy,40.4272,71.7189,275.55,2.400000000000034,48,99,2.06,UZ,1674818765
346,katsuura,35.1333,140.3,277.45,4.300000000000011,91,100,1.24,JP,1674818765
347,micheweni,-4.9667,39.8333,301.8,28.650000000000034,65,86,6.46,TZ,1674818765
348,labuhan,-6.8844,112.2051,299.47,26.32000000000005,86,100,4.19,ID,1674818766
349,hobyo,5.3505,48.5268,300.15,27.0,59,31,8.4,SO,1674818766
350,nabire,-3.3667,135.4833,299.08,25.930000000000007,84,95,0.43,ID,1674818766
351,znamenskoye,57.1281,73.8282,266.97,-6.17999999999995,94,100,3.95,RU,1674818767
352,shahr-e babak,30.1165,55.1186,279.04,5.890000000000043,60,94,4.03,IR,1674818767
353,victoria,22.2855,114.1577,288.29,15.140000000000043,38,97,8.94,HK,1674818521
354,orange cove,36.6244,-119.3137,279.39,6.240000000000009,93,0,1.54,US,1674818528
355,iqaluit,63.7506,-68.5145,240.0,-33.14999999999998,75,0,2.06,CA,1674818768
356,brae,60.3964,-1.353,280.45,7.300000000000011,89,100,12.3,GB,1674818768
357,llanes,43.4198,-4.7549,283.09,9.939999999999998,70,80,5.59,ES,1674818769
358,hay river,60.8156,-115.7999,248.14,-25.00999999999999,77,75,4.12,CA,1674818769
359,arys,42.4252,68.795,271.29,-1.8599999999999568,80,100,1.16,KZ,1674818769
360,zalantun,48.0,122.7167,249.7,-23.44999999999999,84,36,1.28,CN,1674818769
361,kedrovyy,56.1667,91.8167,267.52,-5.6299999999999955,93,100,7.13,RU,1674818770
362,rio gallegos,-51.6226,-69.2181,285.18,12.03000000000003,50,0,6.17,AR,1674818770
363,khatanga,71.9667,102.5,246.49,-26.659999999999968,81,96,7.26,RU,1674818771
364,hanover,52.3705,9.7332,277.58,4.430000000000007,92,100,5.14,DE,1674818771
365,sarakhs,36.5449,61.1577,279.66,6.510000000000048,35,1,2.08,IR,1674818771
366,helena,46.5927,-112.0361,276.7,3.5500000000000114,76,100,3.6,US,1674818772
367,wanning,18.8003,110.3967,289.63,16.480000000000018,79,100,8.53,CN,1674818772
368,arman,59.7,150.1667,249.37,-23.779999999999973,79,100,4.32,RU,1674818772
369,beyneu,45.3167,55.2,274.92,1.7700000000000387,53,12,4.03,KZ,1674818772
370,inirida,3.8653,-67.9239,293.4,20.25,85,50,0.59,CO,1674818773
371,necochea,-38.5473,-58.7368,293.92,20.77000000000004,87,39,1.24,AR,1674818773
372,avera,33.194,-82.5271,273.88,0.7300000000000182,77,9,3.4,US,1674818773
